city	state	latitude	longitude	portal_url	host_url	hosting_services	navigation_path	html_example_url	pdf_example_url	doc_example_url	fmt_html_true	fmt_html_embedded_links	fmt_pdf_true	fmt_pdf_embedded_images_scans	fmt_pdf_embedded_forms	fmt_pdf_embedded_links_to_material	fmt_pdf_tables	fmt_pdf_searchable_text	fmt_doc_true	fmt_doc_embedded_links	fmt_mp3_true	fmt_video_true	notes_for_development_metadata
Belmont	CA	37.516687	-122.29026	http://www.belmont.gov/city-hall/city-government/city-meetings/-toggle-all	http://belmont-ca.granicus.com|http://belmont.gov	granicus|city	portal>html>pdf|portal>pdf	http://belmont-ca.granicus.com/GeneratedAgendaViewer.php?view_id=2&event_id=408	http://www.belmont.gov/Home/ShowDocument?id=15369	NA	1	1	1	1	1	0	1	1	0	0	0	1	"the text of the links from html to pdf interface often labeled with ""Staff Report""  ""Attachment""  ""Compiled Agenda Packet""  ""City Resolution"" that could serve as pdf file naming scheme"
Berkeley	CA	37.860576	-122.29673	http://www.ci.berkeley.ca.us/Clerk/City_Council/City_Council__Agenda_Index.aspx	http://www.ci.berkeley.ca.us/Clerk/City_Council/	granicus|city|dropbox	portal>html>pdf	http://www.ci.berkeley.ca.us/Clerk/City_Council/2017/05_May/City_Council__05-16-2017_-_Regular_Meeting_Agenda.aspx		NA	1	1	1	1	0	1	1	1	0	0	1	1	links to pdfs usually presented as .aspx; .pdf file names usually well annotated; PACKET of .pds via http://www.ci.berkeley.ca.us/Clerk/City_Council/Agenda_Committee__2017_Index.aspx might be easier to scrape if less complete; has discussion forum at @ cityofberkeley.info/considers/ ; videos hosted by granicus
Brisbane	CA	37.682882	-122.40422	http://brisbaneca.org/city-government/meetings	http://brisbaneca.org/sites/default/files/	city	portal>html>pdf	http://brisbaneca.org/city-council-meeting-04-27-2017	http://brisbaneca.org/sites/default/files/cc%20may%204%202017.pdf	NA	1	1	1	1	0	0	0	0	0	0	0	1	about half of minutes are scanned (not easily parseable)  other half readable; many .pdfs accessible for a given meeting are in reference to OLD meeting minutes  which might cause confusion (e.g.  attachment is minutes from 1 month ago approving its contents); videos hosted at https://www.youtube.com/channel/UCwOkQuxj7HjKEfypZXLG9jw
Cupertino	CA	37.317909	-122.04779	https://cupertino.legistar.com/Calendar.aspx	http://64.165.34.13/weblink/Browse.aspx?startid=676&dbid=0	legistar|laserfiche_weblink	portal>pdf	https://cupertino.legistar.com/MeetingDetail.aspx?ID=508227&GUID=D3EC9216-22DC-46B4-AC1F-A961CFD0D32A&Options=&Search=	https://cupertino.legistar.com/MeetingDetail.aspx?ID=508227&GUID=D3EC9216-22DC-46B4-AC1F-A961CFD0D32A&Options=&Search=	NA	1	1	1	1	0	1	1	1	0	0	1	1	"click on ""meeting details"" to access more .pdfs; special meetings of city council may not necessarily show up on portal (while still showing up in file server navi)? Eg 27 april 2017"
Danville	CA	37.804064	-121.91202	http://www.danville.ca.gov/Government/Public-Meetings-Agendas-Summaries/Town-Council-Meeting-Archive/	https://docs.google.com|http://danville-ca.granicus.com	granicus|googledocs	portal>html>pdf|portal>pdf|portal>html>googledocs	http://www.danville.ca.gov/Government/Public-Meetings-Agendas-Summaries/Town-Council-Meeting-Archive/	http://danville-ca.granicus.com/MetaViewer.php?view_id=6&clip_id=279&meta_id=12312	NA	1	1	1	1	0	1	1	1	0	0	1	1	half of links on web site link to time stamps on media player (http://danville-ca.granicus.com/MediaPlayer.php)  half of links link to relevant pdfs (incidated with paperclip1.png)
Dublin	CA	37.714179	-121.92567	http://dublinca.gov/1604/Meetings-Agendas-Minutes-Video-on-Demand	http://dublinca.gov/ArchiveCenter/ViewFile/Item/752	city|laserfiche_weblink	portal>pdf	http://www.pbtech.org/clients/dublin_cc/dublinccm02212017.html	http://dublinca.gov/ArchiveCenter/ViewFile/Item/746	NA	0	0	1	1	0	1	1	1	0	0	0	1	laserfiche_weblink file navigation; oftern add +1 to /item/ to pull up .pdf with full info (e.g. http://dublinca.gov/ArchiveCenter/ViewFile/Item/731 agenda linked on portal --> http://dublinca.gov/ArchiveCenter/ViewFile/Item/732 has all supplementary files in one pdf)
East Palo Alto	CA	37.46883	-122.1411	www.ci.east-palo-alto.ca.us/agendacenter	http://www.ci.east-palo-alto.ca.us/AgendaCenter/	city	portal>pdf	NA	http://www.ci.east-palo-alto.ca.us/AgendaCenter/ViewFile/Minutes/03212017-1288	NA	0	0	1	1	0	0	0	1	0	0	1	1	"change ""/Minutes/"" to ""/Agenda/"" for pair (e.g. http://www.ci.east-palo-alto.ca.us/AgendaCenter/ViewFile/Minutes/03212017-1288 & /Agenda/03212017-1288video link https://vimeo.com/user40757088"
Fremont	CA	37.562218	-121.99433	https://fremont.gov/AgendaCenter/	https://fremont.gov/DocumentCenter/|http://fremontcityca.iqm2.com/Citizens/FileOpen.aspx	iqm2|city	portal>html>html>pdf|portal>html>html>pdf|portal>word>pdf	https://fremont.gov/AgendaCenter/ViewFile/Agenda/_05022017-1211?html=true	http://fremontcityca.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1379&Inline=True	https://fremont.gov/AgendaCenter/ViewFile/Agenda/_04182017-1200	1	1	1	1	0	1	1	1	1	1	0	1	challenging structurally: several layers of navigation  links accessible via drop-down menus
Hayward	CA	37.680181	-121.921498	https://hayward.legistar.com/Calendar.aspx	https://hayward.legistar.com/	legistar|laserfiche_weblink	portal>pdf|portal>html>html>pdf|portal>pdf>pdf	https://hayward.legistar.com/MeetingDetail.aspx?ID=544309&GUID=9554933B-434E-4EAE-A544-57936C1D32EA&Options=&Search=	https://hayward.legistar.com/View.ashx?M=F&ID=5022462&GUID=0AE8839C-71E5-453A-8E37-3D7E88C3C897	NA	1	1	1	1	0	1	1	1	0	0	0	1	"extremely challenging structurally: click on ""meeting details"" to access more .pdfs (""attachments""; https://hayward.legistar.com/LegislationDetail.aspx?ID=2986791&GUID=A40201B2-8E73-4858-9170-669D7DA0DAA8); has a ""documents sent after meeting"" column"
Los Altos	CA	37.37714	-122.12412	http://www.losaltosca.gov/community/page/city-council-planning-and-transportation-commission-meetings	http://los-altos.granicus.com	granicus|googledocs	portal>html>pdf|portal>googledocs	http://los-altos.granicus.com/GeneratedAgendaViewer.php?view_id=4&clip_id=1187	http://los-altos.granicus.com/MetaViewer.php?view_id=4&clip_id=1198&meta_id=50213	NA	1	1	1	1	0	1	1	1	0	0	0	1	"html page per meeting > downloadable files marked with ""Report"""
